               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.039306,            0.012533,            0.013512,             0.47821,             0.90896,              0.6224,             0.35238,            0.036876,           0.0080008,           0.0066227,           0.0082378,           0.0082378,           0.0082378
                  91,            0.049441,            0.012603,            0.012651,             0.60092,             0.86932,             0.78885,             0.35308,            0.035365,           0.0073952,           0.0065817,            0.008218,            0.008218,            0.008218
                  92,            0.043503,            0.011614,            0.015086,             0.60092,             0.86932,             0.78885,             0.35308,            0.035365,           0.0073952,           0.0065817,           0.0081982,           0.0081982,           0.0081982
                  93,             0.04002,            0.012072,            0.011643,             0.92279,             0.92774,             0.93563,             0.56902,            0.032303,           0.0072046,           0.0065857,           0.0081784,           0.0081784,           0.0081784
                  94,            0.041687,            0.011604,            0.012779,             0.51175,             0.92965,             0.70135,              0.3357,            0.034114,           0.0070703,           0.0064529,           0.0081586,           0.0081586,           0.0081586
                  95,            0.042433,              0.0137,            0.013006,             0.51964,             0.87784,             0.74087,             0.40186,            0.036789,           0.0070686,           0.0064697,           0.0081388,           0.0081388,           0.0081388
                  96,            0.043755,            0.012871,            0.010791,             0.51964,             0.87784,             0.74087,             0.40186,            0.036789,           0.0070686,           0.0064697,            0.008119,            0.008119,            0.008119
                  97,            0.041869,            0.010803,            0.014727,             0.49666,             0.85137,             0.71873,             0.43379,            0.032513,           0.0070743,           0.0068655,           0.0080992,           0.0080992,           0.0080992
                  98,            0.043751,            0.012034,            0.012196,             0.49332,             0.84091,              0.7097,             0.39838,            0.032424,           0.0070585,           0.0071279,           0.0080794,           0.0080794,           0.0080794
                  99,            0.039338,            0.013692,            0.012072,             0.70092,             0.93182,             0.79165,             0.45468,            0.027393,             0.00648,           0.0062755,           0.0080596,           0.0080596,           0.0080596
                 100,            0.036782,            0.010529,            0.015825,             0.70092,             0.93182,             0.79165,             0.45468,            0.027393,             0.00648,           0.0062755,           0.0080398,           0.0080398,           0.0080398
                 101,            0.036764,            0.011638,            0.011511,             0.75458,             0.95455,             0.84808,             0.54529,            0.027549,            0.006323,             0.00608,             0.00802,             0.00802,             0.00802
                 102,            0.041686,            0.012971,            0.011292,             0.41934,             0.76762,              0.5623,             0.26807,            0.038823,           0.0067897,           0.0057435,           0.0080002,           0.0080002,           0.0080002
                 103,            0.047303,            0.011348,            0.011423,              0.6956,             0.95455,             0.79467,             0.42512,            0.033815,           0.0062481,           0.0055255,           0.0079804,           0.0079804,           0.0079804
                 104,            0.043158,            0.011904,             0.01175,              0.6956,             0.95455,             0.79467,             0.42512,            0.033815,           0.0062481,           0.0055255,           0.0079606,           0.0079606,           0.0079606
                 105,            0.036723,            0.010679,            0.010928,             0.88017,             0.95539,             0.97144,             0.57009,             0.02919,           0.0062378,           0.0056915,           0.0079408,           0.0079408,           0.0079408
                 106,            0.036286,             0.01044,            0.012353,              0.7786,                   1,             0.95437,             0.56873,            0.029876,           0.0065147,           0.0062595,            0.007921,            0.007921,            0.007921
                 107,            0.042529,             0.01174,            0.012974,             0.86125,             0.94602,             0.92082,              0.4729,            0.033357,           0.0064572,           0.0054089,           0.0079012,           0.0079012,           0.0079012
                 108,            0.042142,            0.011185,            0.011805,             0.86125,             0.94602,             0.92082,              0.4729,            0.033357,           0.0064572,           0.0054089,           0.0078814,           0.0078814,           0.0078814
                 109,            0.039616,            0.013663,            0.011393,             0.79353,             0.94602,                0.93,             0.50689,            0.030101,           0.0065121,           0.0054365,           0.0078616,           0.0078616,           0.0078616
                 110,            0.037612,            0.011664,            0.011703,             0.60386,             0.96875,             0.78081,             0.49754,            0.031902,           0.0063946,           0.0052674,           0.0078418,           0.0078418,           0.0078418
                 111,            0.043116,            0.010982,            0.011407,               0.587,             0.90642,             0.78549,             0.38943,             0.03523,            0.006736,           0.0051881,            0.007822,            0.007822,            0.007822
                 112,            0.045304,            0.011195,            0.015468,               0.587,             0.90642,             0.78549,             0.38943,             0.03523,            0.006736,           0.0051881,           0.0078022,           0.0078022,           0.0078022
                 113,            0.040901,            0.010752,           0.0096469,             0.83356,              0.9375,             0.93904,             0.50443,            0.030938,            0.006601,           0.0052222,           0.0077824,           0.0077824,           0.0077824
                 114,             0.03801,            0.010493,            0.012141,             0.73455,             0.97727,             0.89507,             0.51247,            0.032811,           0.0065438,            0.004857,           0.0077626,           0.0077626,           0.0077626
                 115,            0.039883,            0.010158,            0.011209,             0.70897,             0.94602,              0.9247,             0.55837,            0.027929,           0.0062133,           0.0046282,           0.0077428,           0.0077428,           0.0077428
                 116,            0.035884,            0.010925,           0.0092309,             0.70897,             0.94602,              0.9247,             0.55837,            0.027929,           0.0062133,           0.0046282,            0.007723,            0.007723,            0.007723
                 117,             0.03423,            0.013434,            0.011626,             0.91381,             0.94602,             0.96357,             0.64602,             0.02291,           0.0060391,           0.0044964,           0.0077032,           0.0077032,           0.0077032
                 118,             0.03343,            0.010854,            0.010145,             0.73046,             0.94602,             0.88683,             0.63021,            0.027525,           0.0060633,           0.0043252,           0.0076834,           0.0076834,           0.0076834
                 119,              0.0409,            0.011265,            0.013629,             0.87984,             0.94602,             0.95818,             0.58918,            0.026666,           0.0058704,           0.0041886,           0.0076636,           0.0076636,           0.0076636
